"1"	A0101	0.975845410628019
"2"	A3301	1
"3"	B4403	0.776119402985075
"4"	B5401	1
"5"	B0801	0.980392156862745
"6"	B5101	1
"7"	A3002	0.71244019138756
"8"	A3001	0.973333333333333
"9"	A0301	0.809650053022269
"10"	A1101	0.950326492537313
"11"	A3201	1
"12"	B5801	0.766666666666667
"13"	B3501	0.95390625
"14"	A6802	0.972239232496428
"15"	A6801	0.928151709401709
"16"	B0702	0.888453500522466
"17"	A3101	0.980094466936572
"18"	B5301	0.976190476190476
"19"	B5701	0.905637254901961
"20"	A0203	0.82448275862069
"21"	A0202	0.856151454585832
"22"	A0201	0.935916313559324
"23"	A0206	0.936159079016222
"24"	A2902	0.906130268199234
"25"	A0205	0.914814814814815
"26"	B3801	0.740065751858205
"27"	B2705	0.622055288461538
"28"	B1501	0.21875
"29"	B2706	0.769230769230769
"30"	A2402	0.923890063424947
