"1"	A0101	0.469878393004245
"2"	A3301	0.463793529929132
"3"	B4403	0.393546559025639
"4"	B5401	0.827984391798139
"5"	B0801	0.667280155062406
"6"	B5101	0.395068671325079
"7"	A3002	0.536280318182209
"8"	A3001	0.181296124768508
"9"	A0301	0.667250011873159
"10"	A1101	0.725052269829828
"11"	A3201	0.0858074548958216
"12"	B5801	0.614520615497824
"13"	B3501	0.497165454221131
"14"	A6802	0.761817520944084
"15"	A6801	0.766330687879507
"16"	B0702	0.570445019027262
"17"	A3101	0.788713197997382
"18"	B5301	0.608734428501071
"19"	B5701	0.562359317427059
"20"	A0203	0.350253262662836
"21"	A0202	0.129558104898099
"22"	A0201	0.731340840554196
"23"	A0206	0.557342731568965
"24"	A2902	0.654294130908752
"25"	A0205	0.522243494481467
"26"	B3801	0.495051381797638
"27"	B2705	0.300787114917705
"28"	B1501	-0.191222687133925
"29"	B2706	0.632355236353223
"30"	A2402	0.727400903337853
