"Allele"	"VUS"	"Se"
A0101	0.758	0
A0201	0.5536	0.8626
A0202	0.5794	0.6935
A0203	NA	0.8065
A0205	NA	NaN
A0206	0.644	0.6667
A0301	0.4325	0
A1101	0.6727	0
A2402	0.5795	0.1111
A2902	NA	0
A3001	NA	0
A3002	NA	0
A3101	NA	0
A3201	NA	0
A3301	NA	0
A6801	0.6897	0.05405
A6802	NA	0.02381
B0702	0.6257	0.25
B0801	NA	0
B1501	NA	0
B1503	NA	0
B2704	NA	NaN
B2705	NA	0
B2706	NA	NaN
B3501	0.5266	0.07143
B3801	0.2775	0
B4403	0.6412	0
B5101	NA	0.5
B5301	NA	0
B5401	0.8503	0
B5701	0.5588	0.25
B5801	0.4621	0.07143
